Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Баран,Маруся,Станіславівна,female,1956-04-19,Асистент керівника,селище Ланівці,"набережна Митна, буд. 2 кв. 46, Дніпрорудне, 77160",016 505 63 74,stusedyta@example.org
Заїка,Гаврило,Іванович,male,1947-09-11,Аудитор,село Турка,"проспект Воронезька, буд. 703 кв. 5, Соледар, 25722",566 40 56,tytarenkoemiliia@example.org
Шевченко,Олександр,Васильович,male,1971-02-03,Менеджер з маркетингу,хутір Трускавець,"площа Каштанова, буд. 846, Радивилів, 84148",+380 (00) 221-74-67,romanzhalilo@example.net
Забіла,Мілена,Давидівна,female,2003-04-03,Системний адміністратор,хутір Бурштин ,"парк Шишкіна, буд. 176, Ічня, 27519",438-86-56,ostap21@example.org
Нестеренко,Камілла,Максимівна,female,1965-03-09,Програміст,селище Біляївка,"шосе Агрономічна, буд. 68 кв. 250, Алупка, 69413",+380 46 561-45-57,adadanylchuk@example.com
Масоха,Амалія,Петрівна,female,1989-01-03,Тестувальник,селище Сімферополь,"сквер Неплія, буд. 346, Подільськ, 77492",+380 22 667 12 26,gvertyporokh@example.net
Засенко,Ігор,Володимирович,male,1969-11-20,Архітектор,хутір Тетіїв,"шосе Путьова, буд. 752, Глобине, 76866",+380 63 844-86-22,alevtyn71@example.org
Рябець,Пріска,Романівна,female,1955-02-10,Офіс-менеджер,хутір Оріхів,"парк Проточний, буд. 5 кв. 869, Пустомити, 20788",+380 13 032 95 47,vchalyi@example.org
Іщенко,Захар,Тимофійович,male,1948-07-25,Тестувальник,хутір Шпола,"сквер Салтикова-Щедріна, буд. 45 кв. 2, Гола Пристань, 52873",015 653-52-12,iustyna13@example.com
Гречко,Григорій,Володимирович,male,2001-12-24,Програміст,хутір Армянськ,"площа Обільний 1-й, буд. 25 кв. 42, Погребище, 79346",+380 86 824-17-22,ikhrystych@example.net
Сацюк,Олег,Іванович,male,1980-12-24,Системний адміністратор,місто Івано-Франківськ,"проспект Академіка Вільямса, буд. 934, Торецьк, 61032",185-43-59,pryimaksviatoslav@example.net
Цимбалюк,Юхим,Тимофійович,male,1975-04-23,Системний адміністратор,місто Красногорівка,"площа Водний, буд. 102 кв. 000, Олександрівськ, 86079",586 98 69,omeliankanivets@example.org
Ільченко,Ілля,Леонідович,male,1968-10-05,Системний адміністратор,селище Новогродівка,"площа Високий, буд. 87 кв. 55, Севастополь, 68886",+380 (74) 248-82-81,nadamenko@example.com
Парасюк,Єфрем,Тарасович,male,1972-07-14,Інженер з якості,село Луцьк,"шосе Вапняний 1-й, буд. 64, Луцьк, 90448",+380 96 652 75 43,oksana70@example.com
Ящук,Христина,Ярославівна,female,1938-07-20,Копірайтер,місто Рубіжне,"проспект Слобідський узвіз, буд. 42, Ямпіль, 80334",453 12 73,iurchenkoandrii@example.org
Удовиченко,Богдан,Давидович,male,1958-11-23,Системний адміністратор,село Моршин,"набережна Космонавтів, буд. 02, Ізюм, 63060",+380 51 760-93-47,erika15@example.org
Рябець,Микита,Леонідович,male,1976-02-21,Програміст,місто Мукачево,"проспект Марії Демченко, буд. 862, Решетилівка, 13417",630-90-86,demydzubko@example.com
Авдєєнко,Роксолана,Геннадіївна,female,1989-10-27,Інженер з якості,селище Долинська,"набережна Польова, буд. 79, Жмеринка, 42729",+380 (23) 742-22-19,levkomamchur@example.com
Шамрай,Любов,Романівна,female,1975-02-06,Дизайнер,село Нова Каховка,"узвіз Грузинська, буд. 7, Бунге , 49161",+380 (48) 445-43-41,demyd32@example.com
Якимчук,Мартин,Петрович,male,1968-02-03,Аналітик даних,хутір Середина-Буда,"набережна Аеродромний 1-й, буд. 5, Мирноград, 54476",+380 (06) 638-38-90,halynaakymenko@example.com
Панчук,Ігнат,Григорійович,male,2008-10-28,Офіс-менеджер,селище Почаїв,"шосе Пересипська 5-та, буд. 03 кв. 8, Вільногірськ, 16281",035 253 27 30,demyd89@example.com
Кабалюк,Дан,Михайлович,male,1983-02-15,Аналітик даних,місто Дубно,"узвіз Василя Стуса, буд. 624 кв. 60, Хмільник, 47599",+380 (43) 396-86-29,bohuslav89@example.net
Чміль,Прохір,Борисович,male,1952-11-01,Бухгалтер,хутір Лебедин,"парк Кладовищний, буд. 5 кв. 62, Куп'янськ, 49023",+380 96 173 57 43,zarudnyiruslan@example.org
Захарченко,Василь,Ігорович,male,1963-09-01,Менеджер з продажу,хутір Конотоп,"площа Мигдальна, буд. 179 кв. 45, Сімферополь, 18849",+380 38 316 37 97,mariia17@example.com
Піддубний,Яків,Леонідович,male,1998-08-20,Програміст,селище Бібрка,"сквер Гоголя, буд. 456 кв. 83, Кам'янське, 99972",+380 (09) 774-21-01,kiefymenko@example.org
Джус,Ярема,Станіславович,male,1987-09-26,Асистент керівника,селище Почаїв,"узвіз Пестеля, буд. 232 кв. 7, Переяслав, 14671",075 033 60 54,ielysaveta87@example.net
Адамчук,Герман,Ігорович,male,1969-09-09,Менеджер з продукту,місто Калинівка ,"узвіз Новоукраїнський, буд. 1, Миколаїв, 51719",025 435 45 08,arkadiivashchenko-zakharchenko@example.com
Фурс,Мілена,Павлівна,female,1976-05-20,Інженер з якості,селище Рудки,"сквер Тираспольська, буд. 22 кв. 003, Червоносів, 79013",792 62 30,gdevdiuk@example.com
Єщенко,Єва,Назарівна,female,1987-09-15,Кадровий менеджер,місто Балаклія,"сквер Український 3-й, буд. 203 кв. 799, Золочів, 41043",894 10 84,haidaviktoriia@example.net
Баран,Антон,Давидович,male,1999-01-11,Офіс-менеджер,хутір Жмеринка,"набережна Економічний, буд. 7, Балаклія, 78113",020 488-07-61,skhmara@example.com
Дзюба,Онисим,Євгенович,male,1997-02-14,Програміст,село Кілія,"шосе Куниці, буд. 085 кв. 595, Мелітополь, 23204",662 41 00,bashtanvasylyna@example.org
Батуринець,Костянтин,Петрович,male,1947-12-09,Інженер з якості,місто Виноградів,"парк Макаренка, буд. 85 кв. 35, Сулимівка (Слов'янськ), 98284",067 826-13-06,kiakymenko@example.com
Калениченко,Леонід,Мар'янович,male,1964-12-21,Інженер з якості,село Очаків,"шосе Розумовський 1-й, буд. 8 кв. 872, Новодружеськ, 09024",+380 57 896-36-53,bandurkamilena@example.com
Дерегус,Святослава,Кирилівна,female,1946-09-10,Інженер з якості,село Івано-Франківськ,"набережна Гаршина, буд. 467 кв. 72, Енергодар, 63869",+380 75 708-88-86,ahrechko@example.org
Яременко,Златослава,Остапівна,female,1969-06-12,Менеджер з закупівель,місто Черкаси,"площа Державіна, буд. 47, Мерефа, 34245",+380 87 794-79-66,markohaida@example.net
Дергач,Леонід,Станіславович,male,1995-08-20,Системний адміністратор,місто Здолбунів,"площа Шефська, буд. 47 кв. 5, Жидачів, 03926",080 952 41 58,vasylenkozakhar@example.com
Гайдабура,Маруся,Федорівна,female,1974-06-08,Тестувальник,село Красногорівка,"парк 4-та Суворовська, буд. 85 кв. 05, Луганськ, 10387",+380 25 398 68 90,anton59@example.org
Єфименко,Пріска,Олексіївна,female,1949-02-26,Менеджер з продукту,місто Гребінка,"сквер Восьмого березня 4-й, буд. 9, Немирів, 21148",+380 38 268 34 77,volodymyra27@example.com
Авдєєнко,Богдан,Станіславович,male,1964-03-15,Аудитор,селище Обухів,"сквер Василя Кандинського 2-й, буд. 9, Берестечко, 50055",083 433 46 34,halynaievtushenko@example.net
Базавлученко,Любов,Іванівна,female,1967-08-26,HR-менеджер,село Олександрія,"провулок Желябова, буд. 9 кв. 264, Хрустальний, 94228",035 492-04-86,voblyililiia@example.org
Стець,Пантелеймон,Зеновійович,male,1944-11-27,HR-менеджер,село Ірміно,"вулиця Кримський, буд. 046 кв. 440, Верхівцеве, 98640",027 97 17,kabanenkoliudmyla@example.net
Андріїшин,Феофан,Петрович,male,1969-05-20,Аналітик даних,хутір Подільськ,"площа Путьова, буд. 4 кв. 9, Немирів, 99828",+380 31 026-82-72,boleslav77@example.com
Бабійчук,Ліза,Давидівна,female,1967-07-09,Архітектор,селище Світловодськ,"шосе Михайла Грушевського, буд. 11 кв. 44, Ровеньки, 70626",+380 69 849-33-75,mariana83@example.org
Микитюк,Надія,Юріївна,female,1991-11-21,Менеджер з продажу,хутір Коростишів,"проспект Ткачова, буд. 529, Ковель, 64535",712 88 44,yandriiovych@example.org
Масляк,Данна,Петрівна,female,1956-09-22,Кадровий менеджер,село Овруч,"шосе Закарпатська, буд. 026 кв. 0, Ямпіль, 43661",846-70-83,hennadii93@example.net
Свистун,Лесь,Зеновійович,male,1940-01-30,Менеджер з продажу,місто Люботин,"набережна Центральний аеропорт, буд. 46, Часів Яр, 82736",565-36-22,nadiia30@example.com
Тимченко,Роксолана,Максимівна,female,1999-08-30,Фінансовий аналітик,село Родинське,"узвіз Верхня, буд. 09 кв. 5, Трускавець, 44573",+380 60 851 84 48,onysym62@example.org
Артимович,Опанас,Михайлович,male,1957-10-10,Архітектор,селище Алупка,"шосе Люстдорфська дорога, буд. 5 кв. 571, Ірпінь, 67420",+380 40 967 29 34,zshukhevych@example.org
Шаблій,Дарина,Леонідівна,female,1973-11-20,Менеджер з продажу,село Красилів,"площа Вчительська, буд. 1 кв. 582, Роздільна, 23491",489-70-63,wmedvedenko@example.org
Гресь,Демид,Михайлович,male,1942-09-18,Тестувальник,місто Ялта,"проспект Овідіопольська дорога, буд. 517, Каховка, 17614",+380 (86) 406-02-09,illia85@example.net
Яценко,Аркадій,Максимович,male,1985-10-14,Копірайтер,селище Кремінна,"площа Пестеля, буд. 7 кв. 4, Городенка, 54809",+380 00 344 79 07,sirchenkodavyd@example.net
Бевзенко,Тарас,Васильович,male,1966-05-15,HR-менеджер,село Олешки,"шосе Центральна, буд. 305 кв. 0, Новоукраїнка, 52391",334-45-10,alutsenko@example.org
Дерегус,Еріка,Тарасівна,female,1958-02-08,Фінансовий аналітик,село Кам'янське,"шосе Друга, буд. 34, Суми, 78942",919-96-15,dmytro10@example.com
Корсун,Святослава,Андріївна,female,1986-03-25,HR-менеджер,місто Ровеньки,"проспект Грузовий, буд. 3 кв. 66, Соснівка , 24008",096 546 21 42,yudovenko@example.net
Запорожець,Емілія,Вікторівна,female,1950-09-03,Програміст,місто Жидачів,"провулок Омська, буд. 33 кв. 5, Мелітополь, 80318",+380 26 683-16-67,danyloartymovych@example.net
Яремко,Франц,Назарович,male,1987-06-17,Менеджер з продукту,селище Берестечко,"проспект Прохоровський, буд. 13 кв. 3, Прип'ять , 32252",041 781-52-94,sychiustym@example.org
Скирда,Ярина,Євгенівна,female,2006-09-01,Фінансовий аналітик,селище Шахтарськ,"вулиця Подільська, буд. 762 кв. 09, Скалат, 71736",+380 20 255-93-32,iukhymenkovolodymyr@example.net
Макаренко,Зорян,Олегович,male,1953-03-21,Архітектор,хутір Путивль,"провулок Ялинкова, буд. 4 кв. 30, Донецьк, 68751",010 277-73-92,liliia89@example.org
Андрощук,Климент,Юрійович,male,1998-12-07,HR-менеджер,місто Луганськ,"площа Чорноморський 4-й, буд. 71, Бахмут, 21171",+380 75 653-55-53,turkalostepan@example.com
Вишиваний,Володимир,Давидович,male,1962-09-13,Інженер з якості,селище Українськ,"парк Сирітський, буд. 888 кв. 617, Надвірна, 60280",045 314 13 21,vasylynamykhailychenko@example.org
Фастенко,Зорян,Ігорович,male,1973-04-07,Інженер з якості,місто Іллінці,"шосе Осіння, буд. 85, Чуднів, 85008",747 26 37,tverdokhlibiarema@example.net
Черненко,Леонід,Володимирович,male,1942-04-04,Менеджер з закупівель,хутір Нововолинськ,"узвіз 11-та Лінія Марії Демченко, буд. 103 кв. 15, Старобільськ, 52361",477-88-96,iaremkohalyna@example.org
Гавриленко,Олександр,Зеновійович,male,1988-01-20,Програміст,місто Хрестівка,"сквер Лінія 44-та, буд. 068, Перечин, 23245",024 217-27-09,teodorabramenko@example.com
Засенко,Орест,Марківич,male,1980-02-21,Аналітик даних,місто Любомль,"провулок Поштова, буд. 5 кв. 1, Ізмаїл, 19802",050 939 89 69,lzaporozhets@example.net
Непорожній,Вʼячеслав,Остапович,male,1951-03-18,Менеджер з закупівель,місто Київ,"набережна Лазурний 4-й, буд. 746 кв. 81, Приморськ (Україна), 72477",074 313 80 37,szhalilo@example.net
Титаренко,Феофан,Романович,male,1977-06-19,Аналітик даних,хутір Ковель,"шосе Дорбуду, буд. 39 кв. 966, Буськ, 32467",795-78-56,mdatsenko@example.net
Щербань,Вікторія,Костянтинівна,female,1977-08-04,Фінансовий аналітик,село Устилуг,"проспект Кладовищенська, буд. 236 кв. 94, Сарни, 76240",+380 (87) 021-97-41,emiliia94@example.net
Рудько,Георгій,Петрович,male,1942-12-08,Програміст,хутір Городенка,"шосе Грецький, буд. 140 кв. 539, Скалат, 02912",+380 27 908-95-45,oaleksiuk@example.org
Іщак,Венедикт,Олексійович,male,1977-04-25,HR-менеджер,хутір Сіверськ,"шосе Градоначальницька, буд. 6 кв. 12, Носівка, 94574",+380 47 156-47-79,kvashchenko@example.com
Сацюк,Назар,Кирилович,male,1986-09-26,Архітектор,місто Знам'янка,"сквер Михайлівська, буд. 361, Івано-Франківськ, 70149",+380 (85) 460-06-74,bohdanpetryk@example.net
Конопленко,Петро,Вікторович,male,1984-03-18,PR-менеджер,місто Миронівка,"провулок Одеська, буд. 0, Дебальцеве, 78743",195-20-60,leopoldbaranyk@example.net
Іщенко,Варфоломій,Іванович,male,1955-06-24,Менеджер з продукту,село Глобине,"шосе Новий, буд. 48, Жданівка, 90628",009 558-21-87,leopoldtarasenko@example.net
Дубенко,Павло,Данилович,male,2004-03-19,Менеджер з продукту,селище Севастополь,"парк Нафтовиків, буд. 79 кв. 074, Рава-Руська, 44135",+380 46 772-97-38,gtsymbal@example.org
Теличенко,Софія,Марківна,female,1977-08-12,HR-менеджер,селище Вишгород,"парк Отамана Чепіги, буд. 36 кв. 589, Бучач, 66958",+380 40 015 08 29,vasyldutka@example.com
